№ of the participant,gender,audio,video,response,time of reaction,knowledge about McGurk,number in the routine,comment
1,m,b,g,b,8.629840968594863,no,1,
1,m,g,g,g,7.264381313343279,no,4,
1,m,b,b,b,7.183035872573328,no,6,
1,m,b,d,b,6.848327203103736,no,8,
1,m,g,b,g,5.481378377924443,no,7,
1,m,g,d,g,5.315962016836238,no,9,
1,m,d,b,d,4.966049071694783,no,5,
1,m,d,g,d,4.614947869721846,no,2,
1,m,d,d,d,37.585629603503776,no,3,
2,f,g,g,g,8.964730652454136,no,1,
2,f,b,d,b,7.264629508331154,no,2,
2,f,d,d,d,4.533605694675316,no,9,
2,f,b,g,b,3.5979138558118393,no,6,
2,f,g,b,g,2.7335981368580633,no,3,
2,f,b,b,b,2.5999274076314123,no,4,
2,f,d,g,d,2.5662466013147878,no,7,
2,f,g,d,g,1.9500712860792646,no,5,
2,f,d,b,d,1.9489436783990186,no,8,
3,m,d,b,d,9.099156230347262,yes,7,
3,m,b,b,b,7.465185987620089,yes,5,
3,m,d,g,d,6.982221867657927,yes,2,
3,m,b,g,b,4.699479257057192,yes,4,
3,m,g,d,g,4.1666843948801215,yes,6,
3,m,g,g,g,3.233484303066689,yes,8,
3,m,g,b,g,2.331996719347444,yes,9,
3,m,b,d,b,11.580318137455151,yes,1,
3,m,d,d,d,11.16261017151578,yes,3,
4,f,g,d,g,7.91636583162,no,2,
4,f,g,g,g,7.16524592275,no,1,
4,f,d,d,d,5.85163085413,no,3,
4,f,d,g,d,4.65007245235,no,5,
4,f,b,b,b,3.51873590492,no,6,
4,f,b,d,b,3.46530918442,no,4,
4,f,g,b,g,2.55149294744,no,7,
4,f,d,b,d,1.43415561065,no,9,
4,f,b,g,b,1.23430751331,no,8,
5,f,d,d,d,4.65701444101,no,3,
5,f,g,d,g,4.33066819442,no,5,
5,f,d,b,d,4.26501601603,no,6,
5,f,b,g,b,4.16603669361,no,8,
5,f,b,b,b,3.65832399493,no,4,
5,f,g,g,g,3.47547723839,no,2,
5,f,d,g,d,3.33360780939,no,7,
5,f,g,b,g,10.479323324,no,1,
5,f,b,d,b,1.76793323748,no,9,
6,f,b,b,b,4.96160865657,no,2,
6,f,g,d,g,20.272221595,no,1,
6,f,d,b,d,2.00239937147,no,4,
6,f,b,d,b,1.40288167173,no,9,
6,f,g,b,g,1.35393645283,no,8,
6,f,d,g,d,0.915528874088,no,6,
6,f,b,g,b,0.884153231338,no,7,
6,f,g,g,g,0.87060422363,no,5,
6,f,d,d,d,0.849714809272,no,3,
7,f,b,g,b,8.67813992023,no,9,
7,f,b,d,b,6.70125655597,no,2,
7,f,d,b,d,6.23314398376,no,5,
7,f,d,d,d,6.11763778311,no,7,
7,f,g,d,g,5.30194804893,no,3,
7,f,d,g,d,5.08289238333,no,4,
7,f,g,b,g,4.56801889266,no,8,
7,f,b,b,b,3.93558926194,no,6,
7,f,g,g,g,10.8976187299,no,1,
