list	audio	video	response
ud	k	p	k
ud	k	k	k
ud	k	t	k
ud	k	p	k
ud	k	k	k
ud	k	k	k
ud	k	t	k
ud	k	p	k
ud	k	k	k
ud	k	t	k
ud	k	p	k
ud	k	k	k
ud	k	t	k
ud	k	p	k
ud	k	k	k
ud	k	t	k
ud	k	p	k
ud	k	k	k
ud	k	t	k
ud	k	p	other
ud	p	p	p
ud	p	k	p
ud	p	t	p
ud	p	p	p
ud	p	t	p
ud	p	p	p
ud	p	k	p
ud	p	t	p
ud	p	p	p
ud	p	p	p
ud	p	k	p
ud	p	t	p
ud	p	p	p
ud	p	k	p
ud	p	t	p
ud	p	p	p
ud	p	k	p
ud	p	t	p
ud	t	p	t
ud	t	k	t
ud	t	t	t
ud	p	k	t
ud	k	t	t
ud	t	p	t
ud	t	k	t
ud	t	t	t
ud	t	k	t
ud	t	t	t
ud	p	k	t
ud	p	t	t
ud	t	p	t
ud	t	k	t
ud	t	t	t
ud	t	p	t
ud	t	k	t
ud	t	t	t
ud	t	p	t
ud	t	k	t
ud	t	t	t
ud	t	p	t
ud	t	k	t
ud	t	t	t
ud	t	p	other
un	k	p	k
un	k	k	k
un	k	t	k
un	k	p	k
un	k	k	k
un	k	t	k
un	k	p	k
un	k	k	k
un	k	t	k
un	k	p	k
un	k	k	k
un	k	t	k
un	p	k	k
un	k	p	k
un	k	k	k
un	k	t	k
un	p	p	k
un	p	k	k
un	k	k	k
un	k	t	k
un	p	k	k
un	k	p	k
un	k	k	k
un	k	t	k
un	p	t	other
un	p	p	p
un	p	t	p
un	p	p	p
un	p	p	p
un	p	k	p
un	p	t	p
un	p	t	p
un	k	p	p
un	p	p	other
un	p	t	other
un	p	t	other
un	p	p	other
un	p	k	other
un	p	k	t
un	t	p	t
un	t	k	t
un	t	t	t
un	p	k	t
un	p	t	t
un	t	p	t
un	t	k	t
un	t	t	t
un	t	p	t
un	t	k	t
un	t	t	t
un	t	p	t
un	t	k	t
un	t	t	t
un	t	p	t
un	t	k	t
un	t	t	t
un	p	p	t
un	t	p	t
un	t	k	t
un	t	t	t
un	t	p	other
un	t	t	other
un	t	k	other
v	b	b	b
v	b	g	b
v	b	d	b
v	b	b	b
v	b	g	b
v	b	d	b
v	b	b	b
v	b	g	b
v	b	d	b
v	b	b	b
v	b	g	b
v	b	d	b
v	b	b	b
v	b	g	b
v	b	d	b
v	b	b	b
v	b	g	b
v	b	d	b
v	b	b	b
v	b	g	b
v	b	d	b
v	g	b	other
v	d	b	d
v	d	d	d
v	d	b	d
v	d	g	d
v	d	d	d
v	d	b	d
v	d	g	d
v	d	d	d
v	d	b	d
v	d	g	d
v	d	d	d
v	d	b	d
v	d	g	d
v	d	d	d
v	d	g	d
v	d	d	d
v	d	b	d
v	d	g	d
v	d	d	d
v	d	g	g
v	g	b	g
v	g	g	g
v	g	d	g
v	g	b	g
v	g	g	g
v	g	d	g
v	g	b	g
v	g	g	g
v	g	d	g
v	g	b	g
v	g	g	g
v	g	d	g
v	g	b	g
v	g	g	g
v	g	d	g
v	g	b	g
v	g	g	g
v	g	d	g
v	d	b	other
v	g	g	other
v	g	d	other
vd	b	g	b
vd	b	b	b
vd	b	d	b
vd	b	d	b
vd	b	g	b
vd	b	b	b
vd	b	b	b
vd	b	g	b
vd	b	d	b
vd	b	b	b
vd	b	d	b
vd	b	g	b
vd	b	g	b
vd	b	b	b
vd	b	d	b
vd	b	b	b
vd	b	d	b
vd	b	g	b
vd	b	g	b
vd	b	d	b
vd	b	b	b
vd	d	b	d
vd	d	g	d
vd	d	d	d
vd	d	d	d
vd	d	g	d
vd	d	b	d
vd	d	b	d
vd	d	g	d
vd	d	d	d
vd	d	d	d
vd	d	g	d
vd	d	b	d
vd	d	d	d
vd	d	b	d
vd	d	g	d
vd	d	b	d
vd	d	g	d
vd	d	d	d
vd	d	b	d
vd	d	d	d
vd	d	g	d
vd	g	g	g
vd	g	b	g
vd	g	d	g
vd	g	g	g
vd	g	b	g
vd	g	d	g
vd	g	d	g
vd	g	g	g
vd	g	b	g
vd	g	d	g
vd	g	g	g
vd	g	b	g
vd	g	d	g
vd	g	g	g
vd	g	b	g
vd	g	d	g
vd	g	b	g
vd	g	g	g
vd	g	d	g
vd	g	b	g
vd	g	g	g
