sex	age	experiment	order
женский	19	аудио и видео	порядок 1
мужской	19	аудио и видео	порядок 1
женский	19	аудио и видео	порядок 1
женский	22	аудио и видео	порядок 1
мужской	19	аудио и видео	порядок 1
мужской	18	аудио и видео	порядок 1
мужской	19	аудио и видео	порядок 1
мужской	19	аудио и видео	порядок 1
мужской	17	аудио и видео	порядок 1
женский	17	аудио и видео	порядок 1
мужской	19	аудио и видео	порядок 1
женский	19	аудио и видео	порядок 1
мужской	19	аудио и видео	порядок 1
мужской	20	аудио и видео	порядок 1
мужской	23	аудио и видео	порядок 1
женский	45	аудио и видео	порядок 1
женский	77	аудио и видео	порядок 1
мужской	43	аудио и видео	порядок 1
женский	41	аудио и видео	порядок 1
женский	19	аудио и видео	порядок 1
мужской	66	аудио и видео	порядок 1
женский	27	аудио и видео	порядок 1
мужской	28	аудио и видео	порядок 1
мужской	50	аудио и видео	порядок 1
женский	47	аудио и видео	порядок 1
женский	70	аудио и видео	порядок 1
женский	45	аудио и видео	порядок 1
женский	21	аудио и видео	порядок 1
мужской	20	аудио и видео	порядок 1
женский	27	аудио и видео	порядок 1
женский	19	аудио и видео	порядок 1
женский	20	аудио и видео	порядок 1
женский	19	аудио и видео	порядок 1
мужской	12	аудио и видео	порядок 1
женский	41	аудио и видео	порядок 1
мужской	20	аудио и видео	порядок 1
мужской	40	аудио и видео	порядок 1
мужской	29	аудио и видео	порядок 1
мужской	20	аудио и видео	порядок 1
женский	19	аудио и видео	порядок 1
женский	19	аудио и видео	порядок 2
женский	26	аудио и видео	порядок 2
мужской	58	аудио и видео	порядок 2
мужской	28	аудио и видео	порядок 2
мужской	31	аудио и видео	порядок 2
мужской	29	аудио и видео	порядок 2
женский	56	аудио и видео	порядок 2
женский	59	аудио и видео	порядок 2
женский	46	аудио и видео	порядок 2
мужской	33	аудио и видео	порядок 2
мужской	27	аудио и видео	порядок 2
мужской	18	аудио и видео	порядок 2
мужской	19	аудио и видео	порядок 2
мужской	20	аудио и видео	порядок 2
мужской	45	аудио и видео	порядок 2
женский	63	аудио и видео	порядок 2
женский	36	аудио и видео	порядок 2
женский	15	аудио и видео	порядок 2
женский	14	аудио и видео	порядок 2
женский	20	аудио и видео	порядок 2
женский	20	аудио и видео	порядок 2
мужской	19	аудио и видео	порядок 2
мужской	23	аудио и видео	порядок 2
мужской	21	аудио и видео	порядок 2
мужской	20	аудио и видео	порядок 2
женский	23	аудио и видео	порядок 2
мужской	20	аудио и видео	порядок 2
мужской	21	аудио и видео	порядок 2
мужской	21	аудио и видео	порядок 2
мужской	19	аудио и видео	порядок 2
мужской	20	аудио и видео	порядок 2
мужской	19	аудио и видео	порядок 2
женский	20	аудио и видео	порядок 2
женский	21	аудио и видео	порядок 2
женский	19	аудио и видео	порядок 2
женский	20	аудио и видео	порядок 2
женский	19	аудио и видео	порядок 2
женский	20	аудио и видео	порядок 2
женский	20	аудио и видео	порядок 2
женский	19	аудио и видео	порядок 2
мужской	16	аудио и видео	порядок 3
женский	44	аудио и видео	порядок 3
женский	20	аудио и видео	порядок 3
женский	47	аудио и видео	порядок 3
женский	60	аудио и видео	порядок 3
женский	57	аудио и видео	порядок 3
мужской	20	аудио и видео	порядок 3
мужской	20	аудио и видео	порядок 3
мужской	20	аудио и видео	порядок 3
женский	20	аудио и видео	порядок 3
женский	20	аудио и видео	порядок 3
мужской	20	аудио и видео	порядок 3
мужской	19	аудио и видео	порядок 3
мужской	20	аудио и видео	порядок 3
мужской	20	аудио и видео	порядок 3
женский	47	аудио и видео	порядок 3
женский	64	аудио и видео	порядок 3
женский	23	аудио и видео	порядок 3
женский	56	аудио и видео	порядок 3
мужской	20	аудио и видео	порядок 3
мужской	22	аудио и видео	порядок 3
мужской	20	аудио и видео	порядок 3
женский	53	аудио и видео	порядок 3
женский	50	аудио и видео	порядок 3
женский	52	аудио и видео	порядок 3
мужской	19	аудио и видео	порядок 3
мужской	20	аудио и видео	порядок 3
мужской	18	аудио и видео	порядок 3
мужской	20	аудио и видео	порядок 3
мужской	21	аудио и видео	порядок 3
женский	19	аудио и видео	порядок 3
женский	21	аудио и видео	порядок 3
женский	19	аудио и видео	порядок 3
мужской	20	аудио и видео	порядок 3
женский	20	аудио и видео	порядок 3
женский	19	аудио и видео	порядок 3
женский	19	аудио и видео	порядок 3
мужской	18	аудио и видео	порядок 3
мужской	19	аудио и видео	порядок 3
мужской	18	аудио и видео	порядок 3
женский	19	только аудио	порядок 1
женский	21	только аудио	порядок 1
мужской	21	только аудио	порядок 1
женский	18	только аудио	порядок 1
женский	18	только аудио	порядок 1
мужской	19	только аудио	порядок 1
мужской	20	только аудио	порядок 1
женский	18	только аудио	порядок 1
мужской	19	только аудио	порядок 1
мужской	23	только аудио	порядок 1
женский	20	только аудио	порядок 2
женский	19	только аудио	порядок 2
женский	24	только аудио	порядок 2
женский	20	только аудио	порядок 2
женский	22	только аудио	порядок 2
мужской	19	только аудио	порядок 2
мужской	22	только аудио	порядок 2
мужской	22	только аудио	порядок 2
мужской	21	только аудио	порядок 2
мужской	19	только аудио	порядок 2
мужской	18	только аудио	порядок 3
мужской	19	только аудио	порядок 3
мужской	20	только аудио	порядок 3
мужской	48	только аудио	порядок 3
мужской	21	только аудио	порядок 3
женский	20	только аудио	порядок 3
женский	19	только аудио	порядок 3
женский	21	только аудио	порядок 3
женский	18	только аудио	порядок 3
женский	21	только аудио	порядок 3
